,Level I,Level II,Level III
597,Shop & Service,Costume Shop,Costume Shop
598,Shop & Service,Credit Union,Credit Union
599,Shop & Service,Currency Exchange,Currency Exchange
600,Shop & Service,Department Store,Department Store
601,Shop & Service,Design Studio,Design Studio
602,Shop & Service,Discount Store,Discount Store
603,Shop & Service,Dive Shop,Dive Shop
604,Shop & Service,Drugstore,Drugstore
605,Shop & Service,Dry Cleaner,Dry Cleaner
606,Shop & Service,EV Charging Station,EV Charging Station
607,Shop & Service,Electronics Store,Electronics Store
608,Shop & Service,Entertainment Service,Entertainment Service
609,Shop & Service,Event Service,Event Service
610,Shop & Service,Fabric Shop,Fabric Shop
611,Shop & Service,Film Studio,Film Studio
612,Shop & Service,Financial or Legal Service,Financial or Legal Service
613,Shop & Service,Fireworks Store,Fireworks Store
614,Shop & Service,Fishing Store,Fishing Store
615,Shop & Service,Flea Market,Flea Market
616,Shop & Service,Floating Market,Floating Market
617,Shop & Service,Flower Shop,Flower Shop
618,Shop & Service,Food & Drink Shop,Beer Store
619,Shop & Service,Food & Drink Shop,Butcher
620,Shop & Service,Food & Drink Shop,Cheese Shop
621,Shop & Service,Food & Drink Shop,Coffee Roaster
622,Shop & Service,Food & Drink Shop,Dairy Store
623,Shop & Service,Food & Drink Shop,Farmers Market
624,Shop & Service,Food & Drink Shop,Fish Market
625,Shop & Service,Food & Drink Shop,Food Service
626,Shop & Service,Food & Drink Shop,Gourmet Shop
627,Shop & Service,Food & Drink Shop,Grocery Store
628,Shop & Service,Food & Drink Shop,Health Food Store
629,Shop & Service,Food & Drink Shop,Kuruyemişçi
630,Shop & Service,Food & Drink Shop,Liquor Store
631,Shop & Service,Food & Drink Shop,Organic Grocery
632,Shop & Service,Food & Drink Shop,Sausage Shop
633,Shop & Service,Food & Drink Shop,Street Food Gathering
634,Shop & Service,Food & Drink Shop,Supermarket
635,Shop & Service,Food & Drink Shop,Turşucu
636,Shop & Service,Food & Drink Shop,Wine Shop
637,Shop & Service,Frame Store,Frame Store
638,Shop & Service,Fruit & Vegetable Store,Fruit & Vegetable Store
639,Shop & Service,Furniture / Home Store,Lighting Store
640,Shop & Service,Gaming Cafe,Gaming Cafe
641,Shop & Service,Garden Center,Garden Center
642,Shop & Service,Gas Station,Gas Station
643,Shop & Service,Gift Shop,Gift Shop
644,Shop & Service,Gun Shop,Gun Shop
645,Shop & Service,Hardware Store,Hardware Store
646,Shop & Service,Health & Beauty Service,Health & Beauty Service
647,Shop & Service,Herbs & Spices Store,Herbs & Spices Store
648,Shop & Service,Hobby Shop,Hobby Shop
649,Shop & Service,Home Service,Home Service
650,Shop & Service,Hunting Supply,Hunting Supply
651,Shop & Service,IT Services,IT Services
652,Shop & Service,Insurance Office,Insurance Office
653,Shop & Service,Internet Cafe,Internet Cafe
654,Shop & Service,Jewelry Store,Jewelry Store
655,Shop & Service,Kitchen Supply Store,Kitchen Supply Store
656,Shop & Service,Knitting Store,Knitting Store
657,Shop & Service,Laundromat,Laundromat
658,Shop & Service,Laundry Service,Laundry Service
659,Shop & Service,Lawyer,Lawyer
660,Shop & Service,Leather Goods Store,Leather Goods Store
661,Shop & Service,Locksmith,Locksmith
662,Shop & Service,Lottery Retailer,Lottery Retailer
663,Shop & Service,Luggage Store,Luggage Store
664,Shop & Service,Marijuana Dispensary,Marijuana Dispensary
665,Shop & Service,Market,Market
666,Shop & Service,Massage Studio,Massage Studio
667,Shop & Service,Mattress Store,Mattress Store
668,Shop & Service,Medical Supply Store,Medical Supply Store
669,Shop & Service,Miscellaneous Shop,Miscellaneous Shop
670,Shop & Service,Mobile Phone Shop,Mobile Phone Shop
671,Shop & Service,Mobility Store,Mobility Store
672,Shop & Service,Motorcycle Shop,Motorcycle Shop
673,Shop & Service,Motorsports Shop,Motorsports Shop
674,Shop & Service,Music Store,Music Store
675,Shop & Service,Nail Salon,Nail Salon
676,Shop & Service,Newsstand,Newsstand
677,Shop & Service,Notary,Notary
678,Shop & Service,Optical Shop,Optical Shop
679,Shop & Service,Other Repair Shop,Other Repair Shop
680,Shop & Service,Outdoor Supply Store,Outdoor Supply Store
681,Shop & Service,Outlet Mall,Outlet Mall
682,Shop & Service,Outlet Store,Outlet Store
683,Shop & Service,Paper / Office Supplies Store,Paper / Office Supplies Store
684,Shop & Service,Pawn Shop,Pawn Shop
685,Shop & Service,Perfume Shop,Perfume Shop
686,Shop & Service,Pet Service,Pet Service
687,Shop & Service,Pet Store,Pet Store
688,Shop & Service,Pharmacy,Pharmacy
689,Shop & Service,Photography Lab,Photography Lab
690,Shop & Service,Photography Studio,Photography Studio
691,Shop & Service,Piercing Parlor,Piercing Parlor
692,Shop & Service,Pop-Up Shop,Pop-Up Shop
693,Shop & Service,Print Shop,Print Shop
694,Shop & Service,Public Bathroom,Public Bathroom
695,Shop & Service,Real Estate Office,Real Estate Office
696,Shop & Service,Record Shop,Record Shop
697,Shop & Service,Recording Studio,Recording Studio
698,Shop & Service,Recycling Facility,Recycling Facility
699,Shop & Service,Rental Service,Rental Service
700,Shop & Service,Salon / Barbershop,Salon / Barbershop
701,Shop & Service,Sauna / Steam Room,Sauna / Steam Room
702,Shop & Service,Shipping Store,Shipping Store
703,Shop & Service,Shoe Repair,Shoe Repair
704,Shop & Service,Shopping Mall,Shopping Mall
705,Shop & Service,Shopping Plaza,Shopping Plaza
706,Shop & Service,Skate Shop,Skate Shop
707,Shop & Service,Ski Shop,Ski Shop
708,Shop & Service,Smoke Shop,Smoke Shop
709,Shop & Service,Smoothie Shop,Smoothie Shop
710,Shop & Service,Souvenir Shop,Souvenir Shop
711,Shop & Service,Spa,Spa
712,Shop & Service,Sporting Goods Shop,Sporting Goods Shop
713,Shop & Service,Stationery Store,Stationery Store
714,Shop & Service,Storage Facility,Storage Facility
715,Shop & Service,Supplement Shop,Supplement Shop
716,Shop & Service,Tailor Shop,Tailor Shop
717,Shop & Service,Tanning Salon,Tanning Salon
718,Shop & Service,Tattoo Parlor,Tattoo Parlor
719,Shop & Service,Thrift / Vintage Store,Thrift / Vintage Store
720,Shop & Service,Toy / Game Store,Toy / Game Store
721,Shop & Service,Travel Agency,Travel Agency
722,Shop & Service,Used Bookstore,Used Bookstore
723,Shop & Service,Vape Store,Vape Store
724,Shop & Service,Video Game Store,Video Game Store
725,Shop & Service,Video Store,Video Store
726,Shop & Service,Warehouse Store,Warehouse Store
727,Shop & Service,Watch Shop,Watch Shop
728,Travel & Transport,Airport,Airport Food Court
729,Travel & Transport,Airport,Airport Gate
730,Travel & Transport,Airport,Airport Lounge
731,Travel & Transport,Airport,Airport Service
732,Travel & Transport,Airport,Airport Terminal
733,Travel & Transport,Airport,Airport Tram
734,Travel & Transport,Airport,Baggage Claim
735,Travel & Transport,Airport,Plane
736,Travel & Transport,Baggage Locker,Baggage Locker
737,Travel & Transport,Bike Rental / Bike Share,Bike Rental / Bike Share
738,Travel & Transport,Boat Rental,Boat Rental
739,Travel & Transport,Boat or Ferry,Boat or Ferry
740,Travel & Transport,Border Crossing,Border Crossing
741,Travel & Transport,Bus Station,Bus Line
742,Travel & Transport,Bus Stop,Bus Stop
743,Travel & Transport,Cable Car,Cable Car
744,Travel & Transport,Cruise,Cruise
745,Travel & Transport,Duty-free Shop,Duty-free Shop
746,Travel & Transport,General Travel,General Travel
747,Travel & Transport,Heliport,Heliport
748,Travel & Transport,Hotel,Bed & Breakfast
749,Travel & Transport,Hotel,Boarding House
750,Travel & Transport,Hotel,Hostel
751,Travel & Transport,Hotel,Hotel Pool
752,Travel & Transport,Hotel,Inn
753,Travel & Transport,Hotel,Motel
754,Travel & Transport,Hotel,Resort
755,Travel & Transport,Hotel,Vacation Rental
756,Travel & Transport,Intersection,Intersection
757,Travel & Transport,Light Rail Station,Light Rail Station
758,Travel & Transport,Metro Station,Metro Station
759,Travel & Transport,Moving Target,Moving Target
760,Travel & Transport,Pier,Pier
761,Travel & Transport,Port,Port
762,Travel & Transport,RV Park,RV Park
763,Travel & Transport,Rental Car Location,Rental Car Location
764,Travel & Transport,Rest Area,Rest Area
765,Travel & Transport,Road,Road
766,Travel & Transport,Taxi Stand,Taxi Stand
767,Travel & Transport,Taxi,Taxi
768,Travel & Transport,Toll Booth,Toll Booth
769,Travel & Transport,Toll Plaza,Toll Plaza
770,Travel & Transport,Tourist Information Center,Tourist Information Center
771,Travel & Transport,Train Station,Platform
772,Travel & Transport,Train Station,Train
773,Travel & Transport,Tram Station,Tram Station
774,Travel & Transport,Transportation Service,Transportation Service
775,Travel & Transport,Travel Lounge,Travel Lounge
776,Travel & Transport,Tunnel,Tunnel
